Market Data - All Shares
As of  07/10/2018 10:03

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
TEVA,TEVA,IL0006290147,"TA-35, TA-125, TA-Biomed Index, TA-Maala Index, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",7833.00,-1.66,1484.34,10:02
TGBR,TIGBUR,IL0011050221,,1102.00,,,
TIV TAAM,TTAM,IL0001030100,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",254.00,2.92,0.98,09:45
TOGETHER,TGTR,IL0004620105,,624.00,-0.49,,
TOP SYSTEMS,TOPS,IL0010833775,,312.00,,,
TOWER,TSEM,IL0010823792,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",7465.00,-4.33,1328.20,10:02
TRENDLINE,TREN,IL0002710155,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",1746.00,,,
ULTRA EQUITY,ULTR-M,IL0004480195,,1252.00,,,
UNET CREDIT-M,UNCR-M,IL0010806052,,4510.00,,,
UNION,UNON,IL0007223147,"TA-Finance Index, TA-Growth, TA-AllShare",1694.00,,0.29,10:03
UNITRONICS,UNIT,IL0010838311,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",2917.00,-0.98,204.86,10:01
UNIVO,UNVO,IL0010935588,,371.00,3.75,,
USER TREND-M,USER-M,IL0010960073,,780.00,,,
VICTORY,VCTR,IL0011237778,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",4283.00,,0.21,09:50
VILLAR,VILR,IL0004160169,"TA-RealEstate, TA-Growth, TA-AllShare",9150.00,,,
VISION SIGMA,VISN,IL0003500175,,5613.00,,,
VITALA CAPIT-M,VTLC-M,IL0008240116,,73.30,,,
VITANIA,VTNA,IL0011099665,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",1093.00,,,
VONETIZE,VNTZ,CY0106661412,,54.70,,,
WHITESMOKE,WSMK,IL0002160104,,22.30,2.76,,
WHITESTONE,WTS,IL0010823461,,2047.00,,,
WILLY FOOD,WLFD,IL0003710139,"TA-Growth, TA-AllShare, TA-Rimon",1870.00,,,
XENIA,XENA,IL0010995715,,103.20,,,
XTL BIO,XTLB,IL0010854979,,8.10,3.85,,
YAACOBI GROUP,YAAC,IL0011424210,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon",106.90,,,
YBOX,YBOX,IL0004860271,"TA-RealEstate, TA-Growth, TA-AllShare",65.00,,,
ZANLAKOL,ZNKL,IL0001300131,"TA-Growth, TA-AllShare, TA-Industrials",1615.00,,0.63,09:45
ZMH,ZMH,IL0011040586,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon",989.50,,,
ZUR,ZUR,IL0007300101,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",1390.00,-0.07,0.28,09:46
